n,u_n,v_n,w_n,abs_s_n,is_prime
91,2,2.0943951023931954e-9,0,2,0
92,3,2.827433388230814e-9,0,3,0
93,2,3.5604716740684324e-9,0,2,0
94,2,5.131268000863329e-9,0,2,0
95,2,2.5132741228718347e-9,0,2,0
96,6,1.3613568165555772e-9,0,6,0
97,1,1.0157816246606999e-8,0,1,1
98,3,1.6755160819145562e-9,0,3,0
99,3,1.7802358370342162e-9,0,3,0
100,4,1.4660765716752368e-9,0,4,0
101,0.9999999999999999,1.0576695267085638e-8,0,0.9999999999999999,1
102,3,2.303834612632515e-9,0,3,0
103,0.9999999999999999,1.0786134777324958e-8,0,0.9999999999999999,1
104,4,1.9896753472735356e-9,0,4,0
105,3,1.5707963267948966e-9,0,3,0
106,2,5.759586531581288e-9,0,2,0
107,0.9999999999999999,1.1205013797803595e-8,0,0.9999999999999999,1
108,5,1.3613568165555772e-9,0,5,0
109,0.9999999999999999,1.1414453308042915e-8,0,0.9999999999999999,1
110,3,1.884955592153876e-9,0,3,0
111,2,4.188790204786391e-9,0,2,0
112,5,1.5707963267948966e-9,0,5,0
113,0.9999999999999999,1.1833332328521554e-8,0,0.9999999999999999,1
114,3,2.5132741228718347e-9,0,3,0
115,2,2.932153143350474e-9,0,2,0
116,3,3.4557519189487726e-9,0,3,0
117,3,1.9896753472735356e-9,0,3,0
118,2,6.387905062299246e-9,0,2,0
119,2,2.5132741228718347e-9,0,2,0
120,5,1.4660765716752368e-9,0,5,0
121,2,2.303834612632515e-9,0,2,0
122,2,6.597344572538566e-9,0,2,0
123,2,4.60766922526503e-9,0,2,0
124,3,3.6651914291880922e-9,0,3,0
125,3,1.5707963267948966e-9,0,3,0
126,4,1.5707963267948966e-9,0,4,0
127,0.9999999999999999,1.3299408900196791e-8,0,0.9999999999999999,1
128,7,1.466076571675237e-9,0,7,0
129,2,4.81710873550435e-9,0,2,0
130,3,2.0943951023931954e-9,0,3,0
131,0.9999999999999999,1.371828792067543e-8,0,0.9999999999999999,1
132,4,1.884955592153876e-9,0,4,0
133,2,2.722713633111154e-9,0,2,0
134,2,7.225663103256525e-9,0,2,0
135,4,1.4660765716752368e-9,0,4,0
136,4,2.408554367752175e-9,0,4,0
137,0.9999999999999999,1.434660645139339e-8,0,0.9999999999999999,1
138,3,2.932153143350474e-9,0,3,0
139,0.9999999999999999,1.4556045961632709e-8,0,0.9999999999999999,1
140,4,1.6755160819145562e-9,0,4,0
141,2,5.235987755982989e-9,0,2,0
142,2,7.644542123735163e-9,0,2,0
143,2,2.5132741228718347e-9,0,2,0
144,6,1.466076571675237e-9,0,6,0
145,2,3.560471674068432e-9,0,2,0
146,2,7.853981633974483e-9,0,2,0
147,3,1.780235837034216e-9,0,3,0
148,3,4.293509959906051e-9,0,3,0
149,0.9999999999999999,1.5603243512829307e-8,0,0.9999999999999999,1
150,4,1.5707963267948966e-9,0,4,0
151,0.9999999999999999,1.5812683023068627e-8,0,0.9999999999999999,1
152,4,2.6179938779914945e-9,0,4,0
153,3,2.408554367752175e-9,0,3,0
154,3,2.0943951023931954e-9,0,3,0
155,2,3.769911184307752e-9,0,2,0
156,4,2.0943951023931954e-9,0,4,0
157,0.9999999999999999,1.6441001553786586e-8,0,0.9999999999999999,1
158,2,8.482300164692442e-9,0,2,0
159,2,5.864306286700948e-9,0,2,0
160,6,1.5707963267948966e-9,0,6,0
161,2,3.141592653589793e-9,0,2,0
162,5,1.466076571675237e-9,0,5,0
163,0.9999999999999999,1.7069320084504545e-8,0,0.9999999999999999,1
164,3,4.71238898038469e-9,0,3,0
165,3,1.9896753472735356e-9,0,3,0
